condition,seed,best_epoch,best_val_auc,accuracy,balanced_accuracy,f1,macro_f1,auc,tn,fp,fn,tp
real_only,42,13,0.9976768542321242,0.8605769230769231,0.814957264957265,0.8994219653179191,0.836133959160265,0.9688636861713784,148,86,1,389
real_only,123,15,0.9987622584023612,0.8990384615384616,0.8670940170940171,0.9249106078665076,0.8854381890188284,0.9726550515012052,173,61,2,388
real_only,2026,9,0.997829191659526,0.8798076923076923,0.8405982905982906,0.9120750293083236,0.8611008057934022,0.9731371904448828,160,74,1,389
real_plus_176_normal_only,42,13,0.9975245168047224,0.9134615384615384,0.8871794871794871,0.9347826086956522,0.903105590062112,0.975126013587552,183,51,3,387
real_plus_176_normal_only,123,15,0.9977149385889744,0.8846153846153846,0.847008547008547,0.9152941176470588,0.8671947975169967,0.9814924391847468,163,71,1,389
real_plus_176_normal_only,2026,6,0.9985718366181092,0.8878205128205128,0.8529914529914531,0.9170616113744076,0.8718971423208671,0.9750328731097962,167,67,3,387
real_plus_300_each,42,12,0.997219841949919,0.907051282051282,0.8760683760683761,0.9307875894988068,0.8946620874323301,0.9776408064869604,176,58,0,390
real_plus_300_each,123,4,0.9975626011615728,0.8846153846153846,0.8478632478632478,0.9150943396226416,0.8675471698113207,0.969762217839141,164,70,2,388
real_plus_300_each,2026,15,0.998305246120156,0.8685897435897436,0.8247863247863247,0.9048723897911832,0.8462185783152808,0.974200087661626,152,82,0,390
real_plus_600_normal_only,42,13,0.9977149385889746,0.8942307692307693,0.8598290598290599,0.9218009478672986,0.8792173056168175,0.9759204470742933,169,65,1,389
real_plus_600_normal_only,123,14,0.9981719508711797,0.905448717948718,0.8764957264957265,0.929171668667467,0.893501496984336,0.9759423624808241,178,56,3,387
real_plus_600_normal_only,2026,14,0.9981338665143293,0.8733974358974359,0.8311965811965811,0.9080325960419092,0.8524738815685124,0.9683267587113742,155,79,0,390
real_plus_full_balance,42,12,0.9985718366181092,0.8733974358974359,0.832051282051282,0.9078179696616102,0.8528859669279918,0.9677350427350428,156,78,1,389
real_plus_full_balance,123,4,0.9981338665143292,0.875,0.8333333333333333,0.9090909090909092,0.8545454545454545,0.978462634231865,156,78,0,390
real_plus_full_balance,2026,15,0.997829191659526,0.8621794871794872,0.8162393162393162,0.9006928406466512,0.8377809752971477,0.9709675651983344,148,86,0,390
real_plus_synthetic,42,14,0.9973150528420452,0.9150641025641024,0.8901709401709401,0.9357575757575758,0.905231033741672,0.971499013806706,185,49,4,386
real_plus_synthetic,123,11,0.996953251451966,0.875,0.8333333333333333,0.9090909090909092,0.8545454545454545,0.9560870041639272,156,78,0,390
real_plus_synthetic,2026,2,0.9977911073026756,0.905448717948718,0.8764957264957265,0.929171668667467,0.893501496984336,0.97839140916064,178,56,3,387

