experiment_group,condition,condition_label,seed,test_auc,accuracy_t05,balanced_accuracy_t05,macro_f1_t05,accuracy_opt,balanced_accuracy_opt,macro_f1_opt,optimal_threshold,fp_opt,fn_opt
25% real training data,real_25_percent_plus_176_normal,25% Real + 176 Normal,42,0.971827744904668,0.875,0.8341880341880341,0.8549494564180813,0.905448717948718,0.879059829059829,0.8942576407298797,0.92,53.0,6.0
25% real training data,real_25_percent_plus_176_normal,25% Real + 176 Normal,123,0.9673789173789176,0.8637820512820513,0.8192307692307692,0.8403635761689064,0.8782051282051282,0.8384615384615385,0.8590568123729478,0.65,75.0,1.0
25% real training data,real_25_percent_plus_176_normal,25% Real + 176 Normal,2026,0.9704470742932282,0.8846153846153846,0.8504273504273505,0.8685747048430315,0.8846153846153846,0.8504273504273505,0.8685747048430315,0.51,67.0,5.0
25% real training data,real_25_percent_plus_44_normal,25% Real + 44 Normal,42,0.9732467674775368,0.8830128205128205,0.8474358974358975,0.866234014124833,0.9150641025641024,0.8935897435897435,0.9060793406924206,0.87,45.0,8.0
25% real training data,real_25_percent_plus_44_normal,25% Real + 44 Normal,123,0.96385053692746,0.8637820512820513,0.8192307692307692,0.8403635761689064,0.8814102564102564,0.8478632478632478,0.8652661064425771,0.79,67.0,7.0
25% real training data,real_25_percent_plus_44_normal,25% Real + 44 Normal,2026,0.9677953101030023,0.8509615384615384,0.8021367521367522,0.8232709133378202,0.8894230769230769,0.8568376068376069,0.874527540353955,0.8200000000000001,64.0,5.0
25% real training data,real_25_percent_only,25% Real only,42,0.9799693184308568,0.8958333333333334,0.8645299145299146,0.8820954224768682,0.907051282051282,0.8803418803418803,0.8959282263630091,0.72,53.0,5.0
25% real training data,real_25_percent_only,25% Real only,123,0.9758218277449048,0.8653846153846154,0.8222222222222222,0.8429153680172621,0.8990384615384616,0.8688034188034188,0.8860042626611184,0.8,59.0,4.0
25% real training data,real_25_percent_only,25% Real only,2026,0.9693567828183212,0.8862179487179487,0.8491452991452991,0.8692136702179476,0.9198717948717948,0.8965811965811966,0.910900928686474,0.86,46.0,4.0
Full training data,real_plus_176_normal_only,Real + 176 Normal,42,0.975126013587552,0.9134615384615384,0.8871794871794871,0.903105590062112,,,,,,
Full training data,real_plus_176_normal_only,Real + 176 Normal,123,0.9814924391847468,0.8846153846153846,0.847008547008547,0.8671947975169967,,,,,,
Full training data,real_plus_176_normal_only,Real + 176 Normal,2026,0.9750328731097962,0.8878205128205128,0.8529914529914531,0.8718971423208671,,,,,,
Full training data,real_plus_full_balance,Real + 2280 Normal,42,0.9677350427350428,0.8733974358974359,0.832051282051282,0.8528859669279918,,,,,,
Full training data,real_plus_full_balance,Real + 2280 Normal,123,0.978462634231865,0.875,0.8333333333333333,0.8545454545454545,,,,,,
Full training data,real_plus_full_balance,Real + 2280 Normal,2026,0.9709675651983344,0.8621794871794872,0.8162393162393162,0.8377809752971477,,,,,,
Full training data,real_plus_300_each,Real + 300 per class,42,0.9776408064869604,0.907051282051282,0.8760683760683761,0.8946620874323301,,,,,,
Full training data,real_plus_300_each,Real + 300 per class,123,0.969762217839141,0.8846153846153846,0.8478632478632478,0.8675471698113207,,,,,,
Full training data,real_plus_300_each,Real + 300 per class,2026,0.974200087661626,0.8685897435897436,0.8247863247863247,0.8462185783152808,,,,,,
Full training data,real_plus_600_normal_only,Real + 600 Normal,42,0.9759204470742932,0.8942307692307693,0.8598290598290599,0.8792173056168175,,,,,,
Full training data,real_plus_600_normal_only,Real + 600 Normal,123,0.975942362480824,0.905448717948718,0.8764957264957265,0.893501496984336,,,,,,
Full training data,real_plus_600_normal_only,Real + 600 Normal,2026,0.9683267587113742,0.8733974358974359,0.8311965811965811,0.8524738815685124,,,,,,
Full training data,real_plus_synthetic,Real + 77 Normal + 99 Pneumonia,42,0.971499013806706,0.9150641025641024,0.8901709401709401,0.905231033741672,,,,,,
Full training data,real_plus_synthetic,Real + 77 Normal + 99 Pneumonia,123,0.9560870041639272,0.875,0.8333333333333333,0.8545454545454545,,,,,,
Full training data,real_plus_synthetic,Real + 77 Normal + 99 Pneumonia,2026,0.97839140916064,0.905448717948718,0.8764957264957265,0.893501496984336,,,,,,
Full training data,real_only,Real only,42,0.9688636861713784,0.8605769230769231,0.814957264957265,0.836133959160265,,,,,,
Full training data,real_only,Real only,123,0.9726550515012052,0.8990384615384616,0.8670940170940171,0.8854381890188284,,,,,,
Full training data,real_only,Real only,2026,0.9731371904448828,0.8798076923076923,0.8405982905982906,0.8611008057934022,,,,,,

