experiment_group,condition,n_seeds,test_auc_mean,test_auc_std,accuracy_t05_mean,accuracy_t05_std,balanced_accuracy_t05_mean,balanced_accuracy_t05_std,macro_f1_t05_mean,macro_f1_t05_std,accuracy_opt_mean,accuracy_opt_std,balanced_accuracy_opt_mean,balanced_accuracy_opt_std,macro_f1_opt_mean,macro_f1_opt_std,optimal_threshold_mean,optimal_threshold_std,fp_opt_mean,fp_opt_std,fn_opt_mean,fn_opt_std
25% real training data,25% Real only,3,0.9750493096646942,0.005348276934679363,0.8824786324786326,0.015564959705484464,0.8452991452991453,0.02141447831857704,0.864741486904026,0.019969213418645593,0.9086538461538461,0.010508715583817272,0.8819088319088318,0.013955025527664951,0.8976111392368672,0.012533361145370044,0.7933333333333333,0.07023769168568493,52.666666666666664,6.506407098647712,4.333333333333333,0.5773502691896258
25% real training data,25% Real + 44 Normal,3,0.9682975381693332,0.004718205369683128,0.8659188034188033,0.01613212486168963,0.822934472934473,0.02287555916369898,0.84328950121052,0.02163048278057175,0.8952991452991452,0.017579575504171236,0.8660968660968661,0.024228671329211176,0.8819576624963176,0.021397080613274555,0.8266666666666668,0.04041451884327378,58.666666666666664,11.930353445448853,6.666666666666667,1.5275252316519465
25% real training data,25% Real + 176 Normal,3,0.969884578858938,0.002277129206625442,0.8744658119658121,0.010426934452961039,0.8346153846153846,0.01560268056711859,0.8546292458100065,0.014108289988235722,0.889423076923077,0.014243901309800635,0.855982905982906,0.020861530337536596,0.8739630526486196,0.018208522683321526,0.6933333333333334,0.20840665376454115,65.0,11.135528725660043,4.0,2.6457513110645907
Full training data,Real only,3,0.9715519760391556,0.002340574993489259,0.8798076923076922,0.019230769230769218,0.8408831908831909,0.026069543666346274,0.8608909846574986,0.024652784612865096,,,,,,,,,,,,
Full training data,Real + 77 Normal + 99 Pneumonia,3,0.9686591423770912,0.011420169563842049,0.8985042735042734,0.020915354647918633,0.8666666666666666,0.02966624682360447,0.8844259950904876,0.026533573743145595,,,,,,,,,,,,
Full training data,Real + 300 per class,3,0.973867703995909,0.003949797329777041,0.8867521367521367,0.01931959542737726,0.8495726495726496,0.02568372513045595,0.8694759451863106,0.024279281800102435,,,,,,,,,,,,
Full training data,Real + 176 Normal,3,0.977217108627365,0.003702837738587936,0.8952991452991452,0.015810521994603362,0.8623931623931624,0.02167302962924093,0.8807325099666586,0.019517787947966887,,,,,,,,,,,,
Full training data,Real + 600 Normal,3,0.9733965227554972,0.0043905581272284805,0.8910256410256411,0.016264249303032406,0.8558404558404558,0.0229114570148147,0.8750642280565554,0.02082672193585313,,,,,,,,,,,,
Full training data,Real + 2280 Normal,3,0.9723884140550808,0.0055031276049134666,0.8701923076923078,0.0069854149736228496,0.8272079772079772,0.009520743482340107,0.8484041322568646,0.00923726543037578,,,,,,,,,,,,

