condition,seed,best_epoch,best_val_auc,optimal_threshold,optimal_val_balanced_accuracy,test_auc,accuracy_t05,balanced_accuracy_t05,f1_t05,macro_f1_t05,tn_t05,fp_t05,fn_t05,tp_t05,accuracy_opt,balanced_accuracy_opt,f1_opt,macro_f1_opt,tn_opt,fp_opt,fn_opt,tp_opt,real_data_fraction,real_train_size,synthetic_normal_count
real_25_percent_only,42,5,0.9932019423021994,0.72,0.9599352565933544,0.9799693184308568,0.8958333333333334,0.8645299145299146,0.9223416965352448,0.8820954224768682,173,61,4,386,0.907051282051282,0.8803418803418803,0.929951690821256,0.8959282263630091,181,53,5,385,0.25,1177,0
real_25_percent_only,123,10,0.9920974959535372,0.8,0.9523755117585452,0.9758218277449048,0.8653846153846154,0.8222222222222222,0.9023255813953488,0.8429153680172621,152,82,2,388,0.8990384615384616,0.8688034188034188,0.9245508982035928,0.8860042626611184,175,59,4,386,0.25,1177,0
real_25_percent_only,2026,13,0.99371608111968,0.86,0.969608683233362,0.9693567828183212,0.8862179487179487,0.8491452991452991,0.9163722025912838,0.8692136702179476,164,70,1,389,0.9198717948717948,0.8965811965811966,0.9391727493917276,0.910900928686474,188,46,4,386,0.25,1177,0
real_25_percent_plus_176_normal,42,15,0.9923736075407028,0.92,0.963638960297058,0.971827744904668,0.875,0.8341880341880341,0.9088785046728972,0.8549494564180813,157,77,1,389,0.905448717948718,0.879059829059829,0.928657799274486,0.8942576407298797,181,53,6,384,0.25,1177,176
real_25_percent_plus_176_normal,123,12,0.9932781110159002,0.65,0.9623536132533562,0.9673789173789176,0.8637820512820513,0.8192307692307692,0.9015063731170336,0.8403635761689064,150,84,1,389,0.8782051282051282,0.8384615384615385,0.911007025761124,0.8590568123729478,159,75,1,389,0.25,1177,176
real_25_percent_plus_176_normal,2026,11,0.99371608111968,0.51,0.9736170617918688,0.9704470742932282,0.8846153846153846,0.8504273504273505,0.9144893111638956,0.8685747048430315,167,67,5,385,0.8846153846153846,0.8504273504273505,0.9144893111638956,0.8685747048430315,167,67,5,385,0.25,1177,176
real_25_percent_plus_44_normal,42,10,0.9920974959535372,0.87,0.9570598876511472,0.9732467674775368,0.8830128205128205,0.8474358974358975,0.9136094674556212,0.866234014124833,165,69,4,386,0.9150641025641024,0.8935897435897435,0.9351285189718482,0.9060793406924206,189,45,8,382,0.25,1177,44
real_25_percent_plus_44_normal,123,12,0.9925925925925926,0.79,0.9668856517185568,0.96385053692746,0.8637820512820513,0.8192307692307692,0.9015063731170336,0.8403635761689064,150,84,1,389,0.8814102564102564,0.8478632478632478,0.911904761904762,0.8652661064425771,167,67,7,383,0.25,1177,44
real_25_percent_plus_44_normal,2026,6,0.9947253165762164,0.8200000000000001,0.9683233361896602,0.9677953101030023,0.8509615384615384,0.8021367521367522,0.8932261768082663,0.8232709133378202,142,92,1,389,0.8894230769230769,0.8568376068376069,0.9177592371871276,0.874527540353955,170,64,5,385,0.25,1177,44

