Data setting,Training condition,Test AUC,Accuracy,Balanced Accuracy,Macro F1
Full training data,Real only,0.9716 ± 0.0023,0.8798 ± 0.0192,0.8409 ± 0.0261,0.8609 ± 0.0247
Full training data,Real + 77 Normal + 99 Pneumonia,0.9687 ± 0.0114,0.8985 ± 0.0209,0.8667 ± 0.0297,0.8844 ± 0.0265
Full training data,Real + 300 per class,0.9739 ± 0.0039,0.8868 ± 0.0193,0.8496 ± 0.0257,0.8695 ± 0.0243
Full training data,Real + 176 Normal,0.9772 ± 0.0037,0.8953 ± 0.0158,0.8624 ± 0.0217,0.8807 ± 0.0195
Full training data,Real + 600 Normal,0.9734 ± 0.0044,0.8910 ± 0.0163,0.8558 ± 0.0229,0.8751 ± 0.0208
Full training data,Real + 2280 Normal,0.9724 ± 0.0055,0.8702 ± 0.0070,0.8272 ± 0.0095,0.8484 ± 0.0092
25% real training data,25% Real only,0.9750 ± 0.0053,0.8825 ± 0.0156,0.8453 ± 0.0214,0.8647 ± 0.0200
25% real training data,25% Real + 44 Normal,0.9683 ± 0.0047,0.8659 ± 0.0161,0.8229 ± 0.0229,0.8433 ± 0.0216
25% real training data,25% Real + 176 Normal,0.9699 ± 0.0023,0.8745 ± 0.0104,0.8346 ± 0.0156,0.8546 ± 0.0141

