tsne_1,tsne_2,group
57.193115,-15.051902,Real Normal
51.53916,-15.718166,Real Normal
49.89306,-29.173416,Real Normal
2.9891942,4.8072195,Real Normal
-4.5104275,-7.059941,Real Normal
-7.5195537,-2.978216,Real Normal
-0.00784262,4.4930005,Real Normal
21.257011,20.597208,Real Normal
11.189511,0.7224034,Real Normal
-8.785657,-14.454033,Real Normal
-9.96655,6.2088556,Real Normal
-18.215336,-3.9082627,Real Normal
4.3958282,15.304885,Real Normal
47.273758,-17.950247,Real Normal
29.090475,11.593441,Real Normal
50.147835,-14.174185,Real Normal
37.09382,0.3361771,Real Normal
32.02153,19.23825,Real Normal
46.674168,-20.252417,Real Normal
-1.2199919,-7.2988386,Real Normal
35.4506,15.229459,Real Normal
3.2674046,17.11177,Real Normal
5.413361,2.0146668,Real Normal
6.4087515,2.7282138,Real Normal
6.123887,-5.420323,Real Normal
43.600204,-28.572044,Real Normal
44.060772,-7.031881,Real Normal
14.553419,7.754844,Real Normal
50.612736,-19.926136,Real Normal
39.800198,-30.473558,Real Normal
54.49468,-16.412577,Real Normal
-2.191768,-4.692149,Real Normal
44.667328,15.89611,Real Normal
39.255005,1.1354494,Real Normal
48.231567,-16.45257,Real Normal
54.086346,-22.495104,Real Normal
19.425877,10.059024,Real Normal
60.211914,-1.1804467,Real Normal
55.576653,11.021719,Real Normal
-13.932678,-9.55398,Real Normal
14.387815,16.738098,Real Normal
-2.4165483,-7.155942,Real Normal
56.85927,9.266493,Real Normal
56.79973,-16.081942,Real Normal
-7.3110514,-7.5209346,Real Normal
54.895466,11.109365,Real Normal
-20.530983,9.654827,Real Normal
61.995922,-8.105124,Real Normal
27.483631,12.064089,Real Normal
1.9817238,1.4336668,Real Normal
9.192096,15.557314,Real Normal
21.094997,14.862124,Real Normal
-6.649102,-9.310015,Real Normal
4.15833,8.877355,Real Normal
6.1965933,-10.341825,Real Normal
39.701466,-22.47312,Real Normal
45.38639,-24.793379,Real Normal
36.367958,-0.72466224,Real Normal
17.490995,16.887644,Real Normal
1.2917337,-5.920521,Real Normal
-17.288836,-14.244063,Real Normal
17.546314,3.407918,Real Normal
36.9868,17.04899,Real Normal
-12.0836315,-1.3373383,Real Normal
7.721765,-3.2680614,Real Normal
7.915241,4.15013,Real Normal
1.1886503,2.790242,Real Normal
17.724377,13.169957,Real Normal
7.088583,-26.138712,Real Normal
52.53687,13.61642,Real Normal
55.720222,7.794683,Real Normal
-2.739419,-7.600444,Real Normal
22.234793,11.940754,Real Normal
22.785719,10.283483,Real Normal
47.563698,-24.006533,Real Normal
44.7054,-18.503761,Real Normal
-5.080924,12.991599,Real Normal
-9.95925,2.6281588,Real Normal
6.055855,1.293404,Real Normal
0.047443744,-5.4014864,Real Normal
2.5140524,10.464254,Real Normal
44.172607,-20.508312,Real Normal
-4.655111,13.29945,Real Normal
-2.1600585,2.415128,Real Normal
22.130707,10.029025,Real Normal
18.900124,6.2736244,Real Normal
-2.480206,4.767973,Real Normal
56.21354,9.685679,Real Normal
46.366817,-26.131117,Real Normal
47.047188,-22.688044,Real Normal
-10.676829,5.9976234,Real Normal
-3.833337,-7.476329,Real Normal
35.463978,18.969767,Real Normal
30.558832,14.019183,Real Normal
28.059582,11.745207,Real Normal
56.94729,9.946001,Real Normal
21.570805,12.973188,Real Normal
61.14138,3.1367857,Real Normal
16.336578,10.508515,Real Normal
21.152693,2.8717253,Real Normal
13.629175,13.835145,Real Normal
-16.726765,-3.4290257,Real Normal
7.8148265,7.314225,Real Normal
44.044865,5.5759335,Real Normal
-1.8644191,-11.011361,Real Normal
35.410805,20.767818,Real Normal
14.326929,0.6386207,Real Normal
-17.615034,-8.823495,Real Normal
50.380512,4.0255194,Real Normal
20.358696,6.8029733,Real Normal
-9.861476,12.356698,Real Normal
-16.79431,-5.4720526,Real Normal
1.4427139,-1.8949571,Real Normal
16.910662,13.973395,Real Normal
35.779766,-12.642094,Real Normal
0.65687,-5.780741,Real Normal
9.775256,10.395425,Real Normal
54.4882,-16.290974,Real Normal
14.655386,11.107597,Real Normal
35.910366,21.698532,Real Normal
1.4874772,9.824736,Real Normal
16.004808,3.8358657,Real Normal
-13.478225,6.5828795,Real Normal
3.7096424,5.416912,Real Normal
55.97342,11.958692,Real Normal
8.84075,-4.506615,Real Normal
43.173286,-19.400301,Real Normal
7.103812,7.432137,Real Normal
10.920561,6.4640684,Real Normal
14.102163,5.6762996,Real Normal
55.558414,5.2498484,Real Normal
4.9916296,5.8662605,Real Normal
17.509228,0.5091116,Real Normal
2.9667635,-21.118328,Real Normal
-3.3366969,-9.414329,Real Normal
60.560177,5.7511086,Real Normal
-18.574278,-15.925412,Real Normal
-1.7227598,3.4120305,Real Normal
-7.5919485,5.622877,Real Normal
-2.5836375,9.461187,Real Normal
11.078299,8.230306,Real Normal
44.437687,-28.527952,Real Normal
50.24355,-10.806808,Real Normal
10.396697,10.313827,Real Normal
41.083393,-26.055208,Real Normal
51.685566,-24.84457,Real Normal
16.490345,-16.592665,Real Normal
22.571732,14.138432,Real Normal
48.728268,-25.92592,Real Normal
45.485443,-11.968941,Real Normal
29.855015,14.289207,Real Normal
6.9519644,12.043029,Real Normal
49.24912,-25.109718,Real Normal
11.119747,1.2002785,Real Normal
43.008327,-27.431606,Real Normal
19.519302,14.30854,Real Normal
5.143337,3.1720302,Real Normal
54.33119,-18.688194,Real Normal
-13.994581,-2.1169882,Real Normal
16.191837,1.5169138,Real Normal
8.389047,5.68709,Real Normal
49.99166,-26.013224,Real Normal
-15.105818,7.9235888,Real Normal
55.118248,3.5450497,Real Normal
